year,cpi,dance_studio,fitness_fred,dance_studio_cpi,perform_fred_cpi,fitness_fred_cpi
2006,85.0536740683861,,19.447,,,0.22864385592989125
2007,87.4799768230408,,21.416,,,0.24481030720117172
2008,90.8384208727644,,22.339,,,0.2459201710616458
2009,90.5154482589856,,21.842,,0.15343237278418181,0.24130687545738042
2010,91.9999409325069,,22.311,,0.1497935744340318,0.2425110252665034
2011,94.9042333109721,3.04,23.191,0.03203229080455085,0.1518794209397355,0.2443621237001114
2012,96.86812197718592,3.22,24.051,0.03324106975830877,0.14371084847994298,0.2482860151419516
2013,98.2870778608004,3.28,25.803,0.033371630039152424,0.13903150136738351,0.26252688106714944
2014,99.8815134216814,3.42,27.001,0.034240570480358945,0.14077680161530032,0.2703303051287052
2015,100.0,3.59,28.838,0.0359,0.14776999999999998,0.28838
2016,101.261583205705,3.7,31.223,0.03653902973730659,0.14998777936492227,0.308340033915655
2017,103.418566319434,3.87,33.042,0.037420746948343304,0.15631622614132246,0.3194977572783358
2018,105.944650946275,4.1,33.971,0.03869945262341869,0.1578937667035483,0.32064856221223326
2019,107.864590584923,4.2,35.889,0.03893770863287423,0.16244441206314814,0.3327227202679103
2020,109.195191343518,3.43,24.361,0.03141163963172642,0.09292533741782158,0.2230959046846902
2021,114.325027318716,3.72,,0.03253880700705509,0.11821558513450255,
